Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Last Visit Date,Inspection Visits,Complaint Visits,Other Visits,Total Visits,Inspect TypeA,Inspect TypeB,Other TypeA,Other TypeB,Complaint Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616951,"ARISTA PRESCHOOL OF ELK GROVE, THE","ARISTA GROUP INC., THE","JENNINGS, CRYSTAL",(916) 686-4949,9441 ELK GROVE BLVD,ELK GROVE,CA,95624,SACRAMENTO,53,84,LICENSED,11/1/2011,,3/15/2018,3,9,4,16,0,2,2,1,7/19/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343620543,ARLINGTON HEIGHTS PRESCHOOL,SAN JUAN UNIFIED SCHOOL DISTRICT,JULIA NEUHAUSER,(916) 728-3175,6401 TRENTON WAY,CITRUS HEIGHTS,CA,95621,SACRAMENTO,3,24,LICENSED,8/20/2015,,1/9/2019,2,0,1,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621866,ART BEAST CHILD DEVELOPMENT CENTER,WAKING THE VILLAGE,"BENTON, MICHAEL",(916) 743-1779,4390 47TH AVENUE,SACRAMENTO,CA,95824,SACRAMENTO,3,35,LICENSED,10/4/2017,,10/4/2017,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343620093,ARTENIA BEAST'S ACADEMY OF PLAY,ARTENIA BEAST'S ACADEMY OF PLAY,"RAINES, BLITHE & TRAN, VY",(916) 743-1779,5265 H STREET,SACRAMENTO,CA,95819,SACRAMENTO,3,90,LICENSED,10/6/2014,,1/17/2019,2,0,6,8,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340305606,ASCENSION PRESCHOOL,ASCENSION LUTHERAN CHURCH,"HUNT, KIM",(916) 723-8455,7607 GARDEN GATE DRIVE,CITRUS HEIGHTS,CA,95621,SACRAMENTO,3,54,LICENSED,9/13/1982,,12/7/2018,3,6,3,12,0,1,2,0,12/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340306392,ASSOCIATED STUDENTS CSUS CHILDREN'S CENTER,"ASSOCIATED STUDENTS CSUS CHILDREN'S CENTER, INC.","VELTE, SHERRY",(916) 278-6216,6000 J STREET,SACRAMENTO,CA,95819,SACRAMENTO,3,126,LICENSED,11/7/1982,,7/10/2019,4,1,0,5,0,1,0,0,10/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616631,A+ PRESCHOOL AND KIDS CLUB,DEBORAH RAMSEY,"RAMSEY, DEBORAH",(916) 286-8625,3725 MARYSVILLE BLVD.,SACRAMENTO,CA,95838,SACRAMENTO,3,26,CLOSED,4/6/2011,12/21/2016,4/15/2016,1,0,0,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340317938,A.M. WINN PRESCHOOL,SCUSD CHILD DEVELOPMENT,"BEASLEY, MONICA",(916) 228-5883,3351 EXPLORER DR,SACRAMENTO,CA,95827,SACRAMENTO,3,24,LICENSED,6/16/1992,,1/18/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340319878,B J JORDAN CHILD CARE - JEFFERSON,"B.J. JORDAN CHILD CARE PROGRAMS, INC.","SMILEY, JULIE",(916) 920-8188,2001 PEBBLEWOOD DRIVE,SACRAMENTO,CA,95833,SACRAMENTO,3,25,LICENSED,1/1/1993,,5/22/2019,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343605276,BABCOCK STATE PRESCHOOL,TWIN RIVER UNIFIED SCHOOL DISTRICT,BETTY VON WERLHOF,(916) 566-1600,2400 CORMORANT WAY,SACRAMENTO,CA,95815,SACRAMENTO,3,24,LICENSED,2/25/2000,,8/23/2017,2,2,1,5,0,0,0,0,8/25/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343603454,BANNON CREEK CDC - STATE PRESCHOOL,CONTINUING DEVELOPMENT INC.,"JONES, ERIN",(916) 923-2184,2775 MILLCREEK DRIVE,SACRAMENTO,CA,95833,SACRAMENTO,3,60,LICENSED,12/2/1997,,11/3/2017,1,0,0,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614194,BARBARA COMSTOCK MORSE CHILD DEVELOPMENT CENTER,CONTINUING DEVELOPMENT INC.,KAMINA STAPLES,(916) 682-5160,7000 CRANLEIGH AVE,SACRAMENTO,CA,95823,SACRAMENTO,3,18,LICENSED,4/2/2007,,12/7/2018,3,0,1,4,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343608870,BEANSTALK-CREST DRIVE PRESCHOOL,BJ JORDAN CC DBA BEANSTALK,"HERNANDEZ, JENNLLE",(916) 419-8331,4700 CREST DR.,SACRAMENTO,CA,95834,SACRAMENTO,3,30,LICENSED,3/3/2003,,11/8/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614093,BEANSTALK-ORCHARD PRESCHOOL,B.J. JORDAN CHILD CARE PROGRAMS DBA BEANSTALK,"QUIGLEY, COLLEEN",(916) 991-4427,1040 Q STREET,RIO LINDA,CA,95673,SACRAMENTO,3,24,CLOSED,8/24/2006,7/3/2018,1/21/2016,1,0,0,1,1,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343608368,BEANSTALK-RIDGEPOINT STATE PRESCHOOL,B. J. JORDAN CHILD CARE PROGRAM,"SMITH, ERIKA",(916) 332-9908,4680 MONUMENT DR.,SACRAMENTO,CA,95842,SACRAMENTO,3,30,LICENSED,9/13/2002,,11/30/2017,1,0,1,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343613095,BEANSTALK -REGENCY PARK PRESCHOOL,B.J. JORDAN CHILD CARE PROGRAMS,"MCPHERSON, TIFFANY",(916) 419-6049,5901 BRIDGECROSS DRIVE,SACRAMENTO,CA,95835,SACRAMENTO,3,30,LICENSED,11/15/2006,,2/8/2018,1,0,0,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343605816,BEAR FLAG CHILDREN'S CENTER,SCUSD CHILD DEVELOPMENT,"MARTINEZ, ARLYNE",(916) 433-2747,6620 GLORIA DRIVE,SACRAMENTO,CA,95831,SACRAMENTO,3,24,LICENSED,9/20/2000,,2/20/2018,2,0,1,3,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343600723,"BEARS LEARNING CENTER, THE","BEARS LEARNING CENTER, LLC","PUOPOLO, ANTOINETTE",(916) 925-2356,2344 HURLEY AVE,SACRAMENTO,CA,95825,SACRAMENTO,3,35,CLOSED,11/17/1994,1/11/2018,9/29/2017,2,1,1,4,1,5,0,0,2/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343610782,BELL'S CHILD DEVELOPMENT CENTER,DONNA BELL-DENT,JOYCE JACKSON,(916) 422-1012,4390 47TH AVE.,SACRAMENTO,CA,95824,SACRAMENTO,3,35,CLOSED,4/25/2005,8/11/2017,4/4/2017,2,0,0,2,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614871,BERGAMO MONTESSORI SCHOOL,"BERGAMO PREPARATORY SCHOOL, INC.","MODESTE, KISHA",(916) 399-1900,8200 POCKET ROAD,SACRAMENTO,CA,95831,SACRAMENTO,3,72,LICENSED,12/18/2007,,2/7/2019,3,3,3,9,0,2,0,1,11/28/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614927,"BIG KIDS CLUB, THE","BIG KIDS CLUB, THE","SHAW, KIM",(916) 638-1686,10600 COLOMA ROAD,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,36,CLOSED,12/20/2007,4/15/2015,8/15/2011,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343620719,BLOSSOMING BRILLIANCE,"BLOSSOMING BRILLIANCE, LLC","BLAKELY, KIMBERLY",(916) 574-9591,1996 DEL PASO ROAD STE.178,SACRAMENTO,CA,95834,SACRAMENTO,3,45,CLOSED,8/27/2015,7/16/2017,2/22/2017,0,6,2,8,0,0,0,1,3/17/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604980,BOWLING GREEN CHACON PRESCHOOL,SACRAMENTO CITY UNIFIED SCHOOL DISTRICT,"SANCHEZ, TAMMY",(916) 433-5598,"6807 FRANKLIN BLVD., ROOM BF1",SACRAMENTO,CA,95823,SACRAMENTO,3,24,LICENSED,10/20/1999,,11/27/2018,3,0,0,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617697,BOWLING GREEN MCCOY PRESCHOOL,SACRAMENTO CITY UNIFIED SCHOOL DISTRICT,SUZANNE GONZALES,(916) 433-5426,4211 TURNBRIDGE DRIVE,SACRAMENTO,CA,95823,SACRAMENTO,3,28,LICENSED,9/3/2013,,5/9/2019,2,1,0,3,0,0,0,0,6/5/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340320032,BRADSHAW CHRISTIAN SCHOOL,BRADSHAW CHRISTIAN SCHOOL,"SARMIENTO, LEAH",(916) 688-0521,8324 BRADSHAW ROAD,SACRAMENTO,CA,95829,SACRAMENTO,3,239,LICENSED,7/19/1993,,12/20/2018,2,7,6,15,0,3,2,0,11/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340306389,BRET HARTE,SCUSD CHILD DEVELOPMENT,"ZOLINIKOV, IRINA",(916) 277-6263,2761 9TH AVENUE,SACRAMENTO,CA,95818,SACRAMENTO,3,76,LICENSED,3/13/1980,,11/15/2018,2,0,6,8,0,0,1,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340311608,BRIGHT BEGINNINGS PRESCHOOL - A PARENT COOPERATIVE,BRIGHT BEGINNINGS PRESCHOOL - A PARENT COOPERATIVE,"EDWINSON, SHAWN",(916) 983-5106,450 BLUE RAVINE RD.,FOLSOM,CA,95630,SACRAMENTO,3,30,LICENSED,8/31/1988,,10/24/2018,3,0,2,5,1,1,1,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343601083,BRIGHTON SCHOOLS-FOLSOM,BRIGHTON SCHOOLS-FOLSOM,"ANDERSON, TIFFANY",(916) 353-0777,777 LEVY ROAD,FOLSOM,CA,95630,SACRAMENTO,3,244,CLOSED,6/12/1995,2/1/2019,11/6/2018,2,0,4,6,0,1,2,1,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604081,BRIGHTON SCHOOLS-NATOMA STATION,BRIGHTON SCHOOLS NATOMA STAION,"ROMERO, MARY",(916) 985-2222,405 NATOMA STATION DRIVE,FOLSOM,CA,95630,SACRAMENTO,3,96,CLOSED,11/2/1998,6/23/2016,1/21/2016,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343623090,BRIGHTON SCHOOLS NATOMA STATION,"LEARNING CENTER, THE",DIANE WINELAND,(916) 257-4409,405 NATOMA STATION DRIVE,FOLSOM,CA,95630,SACRAMENTO,3,48,LICENSED,5/21/2019,,4/25/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343620256,BROOKFIELD PRESCHOOL,BROOKFIELD SCHOOL INC,"MARQUEZ, JANIE",(916) 442-1255,6115 RIVERSIDE BLVD.,SACRAMENTO,CA,95831,SACRAMENTO,3,72,LICENSED,1/8/2015,,3/18/2019,2,0,2,4,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622721,BUILDING KIDZ - BLUE RAVINE (PS),BUILDING KIDZ WORLDWIDE LLC,SANJA KELECIJA,(916) 608-9900,231 BLUE RAVINE #400,FOLSOM,CA,95630,SACRAMENTO,3,48,LICENSED,2/28/2019,,2/28/2019,0,0,2,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622693,BUILDING KIDZ - GREENBACK (PS),"BUILDING KIDZ WORLDWIDE, LLC","KELEEIJA, SANJA",(916) 735-3165,8073 GREENBACK LANE,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,40,LICENSED,1/25/2019,,1/4/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622714,BUILDING KIDZ - W. STOCKTON (PS),BUILDING KIDZ WORLDWIDE LLC,"LEGOSTAYEVA, OLGA",(916) 801-9072,7511 WEST STOCKTON,SACRAMENTO,CA,95823,SACRAMENTO,3,39,LICENSED,1/4/2019,,2/21/2019,0,0,2,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622719,BUILDING KIDZ - ZINFANDEL (PS),BUILDING KIDZ WORLDWIDE LLC,"DORER, TIARA",(916) 706-2653,1941 ZINFANDEL DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,18,LICENSED,3/19/2019,,1/10/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616190,BUSY BEE CHILDHOOD DEVELOPMENT CENTER,BUSY BEE EARLY CHILD DEVELOPMENT CENTER,"AITKEN, NANCY",(916) 457-7348,1618 27TH STREET,SACRAMENTO,CA,95816,SACRAMENTO,3,70,LICENSED,2/1/2010,,1/31/2019,2,3,2,7,0,1,1,1,10/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616339,BUSY BEES CHILD CARE CENTER,ADORERS OF THE HOLY CROSS SISTERS,"NGUYEN, THERESE",(916) 383-3278,8205 FLORIN ROAD,SACRAMENTO,CA,95828,SACRAMENTO,3,30,LICENSED,2/3/2011,,5/3/2018,2,0,2,4,0,2,2,3,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343606979,B.J. JORDAN CHILD CARE-DRY CREEK,"B.J. JORDAN CHILD CARE PROGRAMS, INC.","SMITH, ERIKA",(916) 991-4756,1230 G STREET,RIO LINDA,CA,95673,SACRAMENTO,3,30,LICENSED,9/20/2001,,11/8/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343605727,B.J. JORDAN CHILD CARE-NATOMAS PRESCHOOL,"B.J. JORDAN CHILD CARE PROGRAMS, INC.","MILLIKEN, CAROL",(916) 646-1266,2800 STONECREEK,SACRAMENTO,CA,95833,SACRAMENTO,3,30,INACTIVE,9/6/2000,,7/20/2018,1,0,2,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340306413,B.J. JORDAN CHILD CARE PROGRAMS - NORTH HIGHLANDS,"B.J. JORDAN CHILD CARE PROGRAMS, INC.","ECKERLE, PATRICIA",(916) 331-0301,3735 STEPHEN DRIVE,NORTH HIGHLANDS,CA,95660,SACRAMENTO,3,24,INACTIVE,4/21/1982,,9/18/2015,1,0,0,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343610248,"CADENCE EDUCATION, INC - ALHAMBRA","CADENCE EDUCATION, LLC",MIA ROSE,(916) 452-5150,1820 ALHAMBRA BLVD.,SACRAMENTO,CA,95816,SACRAMENTO,3,36,LICENSED,7/23/2004,,12/10/2018,2,0,0,2,2,2,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343610266,"CADENCE EDUCATION, INC - CLARKSVILLE","CADENCE EDUCATION, INC.","HAINES, SANDRA",(916) 983-0224,76 CLARKSVILLE RD.,FOLSOM,CA,95630,SACRAMENTO,3,180,LICENSED,7/23/2004,,3/19/2019,2,0,3,5,3,0,1,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617315,"CADENCE EDUCATION, INC - EL CAMINO","CADENCE EDUCATION, INC.","SALVINO, DEBI",(916) 481-6144,5739 EL CAMINO AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,3,84,LICENSED,12/17/2012,,8/14/2019,3,6,2,11,0,0,0,0,8/20/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343610244,"CADENCE EDUCATION, INC - I STREET","CADENCE EDUCATION, LLC","RUSCH, BETHEL",(916) 442-0722,600 I STREET #100,SACRAMENTO,CA,95814,SACRAMENTO,3,74,LICENSED,7/23/2004,,4/9/2019,3,1,4,8,2,3,1,0,10/31/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343610254,"CADENCE EDUCATION, INC - SKYLAND","CADENCE EDUCATION, LLC","MARTINEZ, SARA",(916) 725-0302,4110 SKYLAND COURT,ANTELOPE,CA,95843,SACRAMENTO,3,164,ON PROBATION,7/23/2004,,6/4/2019,3,17,11,31,0,0,7,0,6/26/2019,0,2,0,0,0,9/18/2015,1,0,0,1,0,6/24/2015,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
