FacilityType,FacilityNumber,FacilityName,FacilityNameProper,Licensee,FacilityAdministrator,FacilityTelephoneNumber,FacilityAddress,FacilityAddressProper,FacilityCity,FacilityCityProper,FacilityState,FacilityZip,CountyName,RegionalOffice,FacilityCapacity,FacilityStatus,LicenseFirstDate,ClosedDate,LastVisitDate,InspectionVisits,ComplaintVisits,OtherVisits,TotalVisits,InspectTypeA,InspectTypeB,OtherTypeA,OtherTypeB,ComplaintInfo,AUTO_UNIQUE_ID_2019-09-04_weverka_ChildCareCente,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,Modified
DAY CARE CENTER,343612181,ANNA KIRCHGATER CHILD DEVELOPMENT CENTER,Anna Kirchgater Child Development Center,"CONTINUING DEVELOPMENT, INC.","BALL, SVETLANA",(916) 689-9474,8141 STEVENSON AVENUE,8141 Stevenson Avenue,SACRAMENTO,Sacramento,CA,95828,SACRAMENTO,3,24,LICENSED,3/7/2007,,3/27/2019,3,0,0,3,0,0,0,0,No Complaints,11,USCGeocoder,218.7848,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.4663962,-121.4067199,Exact,
DAY CARE CENTER,343602581,ANTELOPE CHRISTIAN ACADEMY PRESCHOOL,Antelope Christian Academy Preschool,ANTELOPE CHRISTIAN CENTER,CAROLYN HEWETT,(916) 722-6169,4533 ANTELOPE ROAD,4533 Antelope Road,ANTELOPE,Antelope,CA,95843,SACRAMENTO,3,90,LICENSED,2/18/1997,,9/5/2018,3,0,4,7,0,9,0,0,No Complaints,12,USCGeocoder,109.4356,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,44833.39179,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.705002,-121.3587468,Relaxed,
DAY CARE CENTER,343605672,APPLE A DAY PRESCHOOL & INFANT CENTER,Apple A Day Preschool & Infant Center,"HAINES, ALICE",RAQUEL MESA,(916) 481-5400,5013 EL CAMINO AVENUE,5013 El Camino Avenue,CARMICHAEL,Carmichael,CA,95608,SACRAMENTO,3,36,CLOSED,1/11/2001,11/1/2017,5/26/2016,1,1,0,2,0,0,0,0,6/13/2016,13,USCGeocoder,78.1229,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1265.184027,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.61034291,-121.3477052,Relaxed,
DAY CARE CENTER,343617585,APPLE A DAY PRESCHOOL & INFANT CENTER,Apple A Day Preschool & Infant Center,"HAINES, ALICE","HAINES, ALICE",(916) 396-4337,2921 GARFIELD AVENUE,2921 Garfield Avenue,CARMICHAEL,Carmichael,CA,95608,SACRAMENTO,3,54,CLOSED,8/12/2013,11/1/2017,3/8/2016,1,0,2,3,0,0,0,0,No Complaints,14,USCGeocoder,31.2795,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4250.5648,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.61816152,-121.3372931,Relaxed,
DAY CARE CENTER,343621461,APPLE A DAY PRESCHOOL & INFANT CTR #1 (PS),Apple A Day Preschool & Infant Ctr #1 (Ps),"CHANNEY, JASWINDER","CHANNEY, JASWINDER",(916) 481-5400,5013 EL CAMINO AVENUE,5013 El Camino Avenue,CARMICHAEL,Carmichael,CA,95608,SACRAMENTO,3,36,CLOSED,,2/16/2017,1/6/2017,0,0,2,2,0,0,0,0,No Complaints,15,USCGeocoder,46.9451,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1265.184027,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.61034291,-121.3477052,Relaxed,
DAY CARE CENTER,343621463,APPLE A DAY PRESCHOOL & INFANT CTR #2 (PS),Apple A Day Preschool & Infant Ctr #2 (Ps),"CHANNEY, JASWINDER","CHANNEY, JASWINDER",(916) 426-1888,2921 GARFIELD AVENUE,2921 Garfield Avenue,CARMICHAEL,Carmichael,CA,95608,SACRAMENTO,3,54,CLOSED,,2/16/2017,,0,0,1,1,0,0,0,0,No Complaints,16,USCGeocoder,46.5903,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4250.5648,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.61816152,-121.3372931,Relaxed,
DAY CARE CENTER,343622006,APPLE A DAY PRESCHOOL & INFANT CTR (PS),Apple A Day Preschool & Infant Ctr (Ps),AIRKNM INC,"MESA, RAQUEL",(916) 481-5400,5013 EL CAMINO AVE,5013 El Camino Ave,CARMICHAEL,Carmichael,CA,95608,SACRAMENTO,3,36,LICENSED,10/16/2017,,7/16/2019,1,2,1,4,0,0,0,0,7/25/2019,17,USCGeocoder,46.8724,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1265.184027,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.61034291,-121.3477052,Relaxed,
DAY CARE CENTER,343622004,APPLE A DAY PRESCHOOL & INFANT CTR (PS),Apple A Day Preschool & Infant Ctr (Ps),AIRKNM INC,"DEWAN, DHARMINDER",(916) 426-1888,2921 GARFIELD AVENUE,2921 Garfield Avenue,CARMICHAEL,Carmichael,CA,95608,SACRAMENTO,3,50,LICENSED,10/16/2017,,4/12/2019,1,5,7,13,0,0,1,3,4/18/2019,18,USCGeocoder,31.3218,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4250.5648,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.61816152,-121.3372931,Relaxed,
DAY CARE CENTER,343617401,ARISTA PRESCHOOL OF EAST SACRAMENTO,Arista Preschool Of East Sacramento,ARISTA PRESCHOOL OF EAST SACRAMENTO,JENNIFER SCOTT,(916) 231-9173,3022 F STREET,3022 F Street,SACRAMENTO,Sacramento,CA,95816,SACRAMENTO,3,62,CLOSED,1/29/2013,11/5/2016,5/24/2016,1,2,0,3,0,0,0,0,9/29/2015,19,USCGeocoder,109.2423,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2751.55186,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.57733052,-121.4643544,Exact,
DAY CARE CENTER,343621161,ARISTA PRESCHOOL OF EAST SACRAMENTO,Arista Preschool Of East Sacramento,"ARISTA GROUP, INC., THE","BROHL, CHARLENE",(916) 231-9173,616 ALHAMBRA BLVD,616 Alhambra Blvd,SACRAMENTO,Sacramento,CA,95816,SACRAMENTO,3,64,LICENSED,11/7/2016,,1/24/2019,1,0,1,2,0,0,0,0,No Complaints,20,USCGeocoder,78.4855,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,800.9327564,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.57649768,-121.4638944,Exact,
DAY CARE CENTER,343616951,"ARISTA PRESCHOOL OF ELK GROVE, THE","Arista Preschool Of Elk Grove, The","ARISTA GROUP INC., THE","JENNINGS, CRYSTAL",(916) 686-4949,9441 ELK GROVE BLVD,9441 Elk Grove Blvd,ELK GROVE,Elk Grove,CA,95624,SACRAMENTO,53,84,LICENSED,11/1/2011,,3/15/2018,3,9,4,16,0,2,2,1,7/19/2017,21,USCGeocoder,265.5781,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.4093801,-121.3447832,Exact,
DAY CARE CENTER,343620543,ARLINGTON HEIGHTS PRESCHOOL,Arlington Heights Preschool,SAN JUAN UNIFIED SCHOOL DISTRICT,JULIA NEUHAUSER,(916) 728-3175,6401 TRENTON WAY,6401 Trenton Way,CITRUS HEIGHTS,Citrus Heights,CA,95621,SACRAMENTO,3,24,LICENSED,8/20/2015,,1/9/2019,2,0,1,3,0,0,0,0,No Complaints,22,USCGeocoder,93.7504,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,40459.68462,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.6865088,-121.3150616,Relaxed,
DAY CARE CENTER,343621866,ART BEAST CHILD DEVELOPMENT CENTER,Art Beast Child Development Center,WAKING THE VILLAGE,"BENTON, MICHAEL",(916) 743-1779,4390 47TH AVENUE,4390 47Th Avenue,SACRAMENTO,Sacramento,CA,95824,SACRAMENTO,3,35,LICENSED,10/4/2017,,10/4/2017,0,0,1,1,0,0,0,0,No Complaints,23,USCGeocoder,156.103,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,966.3066037,LinearInterpolationAddressRange,StreetSegment,99.89940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.51030288,-121.4554032,Relaxed,
DAY CARE CENTER,343620093,ARTENIA BEAST'S ACADEMY OF PLAY,Artenia Beast'S Academy Of Play,ARTENIA BEAST'S ACADEMY OF PLAY,"RAINES, BLITHE & TRAN, VY",(916) 743-1779,5265 H STREET,5265 H Street,SACRAMENTO,Sacramento,CA,95819,SACRAMENTO,3,90,LICENSED,10/6/2014,,1/17/2019,2,0,6,8,0,1,0,0,No Complaints,24,USCGeocoder,234.4556,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.33727811,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.5688224,-121.4383073,Relaxed,
DAY CARE CENTER,340305606,ASCENSION PRESCHOOL,Ascension Preschool,ASCENSION LUTHERAN CHURCH,"HUNT, KIM",(916) 723-8455,7607 GARDEN GATE DRIVE,7607 Garden Gate Drive,CITRUS HEIGHTS,Citrus Heights,CA,95621,SACRAMENTO,3,54,LICENSED,9/13/1982,,12/7/2018,3,6,3,12,0,1,2,0,12/14/2018,25,USCGeocoder,78.014,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,7595.013796,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.70390585,-121.3067252,Relaxed,
DAY CARE CENTER,340306392,ASSOCIATED STUDENTS CSUS CHILDREN'S CENTER,Associated Students Csus Children'S Center,"ASSOCIATED STUDENTS CSUS CHILDREN'S CENTER, INC.","VELTE, SHERRY",(916) 278-6216,6000 J STREET,6000 J Street,SACRAMENTO,Sacramento,CA,95819,SACRAMENTO,3,126,LICENSED,11/7/1982,,7/10/2019,4,1,0,5,0,1,0,0,10/5/2015,26,USCGeocoder,234.6023,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.33727811,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.5612411,-121.4244647,Relaxed,
DAY CARE CENTER,343616631,A+ PRESCHOOL AND KIDS CLUB,A+ Preschool And Kids Club,DEBORAH RAMSEY,"RAMSEY, DEBORAH",(916) 286-8625,3725 MARYSVILLE BLVD.,3725 Marysville Blvd.,SACRAMENTO,Sacramento,CA,95838,SACRAMENTO,3,26,CLOSED,4/6/2011,12/21/2016,4/15/2016,1,0,0,1,0,0,0,0,No Complaints,27,USCGeocoder,77.9448,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1547.203783,ArealInterpolationGeometricCentroid,Parcel,99,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.63585033,-121.4302639,Relaxed,
DAY CARE CENTER,340317938,A.M. WINN PRESCHOOL,A.M. Winn Preschool,SCUSD CHILD DEVELOPMENT,"BEASLEY, MONICA",(916) 228-5883,3351 EXPLORER DR,3351 Explorer Dr,SACRAMENTO,Sacramento,CA,95827,SACRAMENTO,3,24,LICENSED,6/16/1992,,1/18/2018,2,0,0,2,0,0,0,0,No Complaints,28,USCGeocoder,109.4011,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2772.226982,LinearInterpolationAddressRange,StreetSegment,98.99408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.56706246,-121.325611,Relaxed,
DAY CARE CENTER,340319878,B J JORDAN CHILD CARE - JEFFERSON,B J Jordan Child Care - Jefferson,"B.J. JORDAN CHILD CARE PROGRAMS, INC.","SMILEY, JULIE",(916) 920-8188,2001 PEBBLEWOOD DRIVE,2001 Pebblewood Drive,SACRAMENTO,Sacramento,CA,95833,SACRAMENTO,3,25,LICENSED,1/1/1993,,5/22/2019,2,0,0,2,0,0,0,0,No Complaints,29,USCGeocoder,62.5391,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,37922.92583,ArealInterpolationGeometricCentroid,Parcel,99,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.62158314,-121.5071093,Relaxed,
DAY CARE CENTER,343605276,BABCOCK STATE PRESCHOOL,Babcock State Preschool,TWIN RIVER UNIFIED SCHOOL DISTRICT,BETTY VON WERLHOF,(916) 566-1600,2400 CORMORANT WAY,2400 Cormorant Way,SACRAMENTO,Sacramento,CA,95815,SACRAMENTO,3,24,LICENSED,2/25/2000,,8/23/2017,2,2,1,5,0,0,0,0,8/25/2017,30,USCGeocoder,78.1448,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1055.516159,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.60979642,-121.4267959,Exact,
DAY CARE CENTER,343603454,BANNON CREEK CDC - STATE PRESCHOOL,Bannon Creek Cdc - State Preschool,CONTINUING DEVELOPMENT INC.,"JONES, ERIN",(916) 923-2184,2775 MILLCREEK DRIVE,2775 Millcreek Drive,SACRAMENTO,Sacramento,CA,95833,SACRAMENTO,3,60,LICENSED,12/2/1997,,11/3/2017,1,0,0,1,0,0,0,0,No Complaints,31,USCGeocoder,93.8148,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3037.851686,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.61498611,-121.5022128,Exact,
DAY CARE CENTER,343614194,BARBARA COMSTOCK MORSE CHILD DEVELOPMENT CENTER,Barbara Comstock Morse Child Development Center,CONTINUING DEVELOPMENT INC.,KAMINA STAPLES,(916) 682-5160,7000 CRANLEIGH AVE,7000 Cranleigh Ave,SACRAMENTO,Sacramento,CA,95823,SACRAMENTO,3,18,LICENSED,4/2/2007,,12/7/2018,3,0,1,4,0,0,0,0,No Complaints,32,USCGeocoder,234.2879,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.4466108,-121.4219308,Exact,
DAY CARE CENTER,343608870,BEANSTALK-CREST DRIVE PRESCHOOL,Beanstalk-Crest Drive Preschool,BJ JORDAN CC DBA BEANSTALK,"HERNANDEZ, JENNLLE",(916) 419-8331,4700 CREST DR.,4700 Crest Dr.,SACRAMENTO,Sacramento,CA,95834,SACRAMENTO,3,30,LICENSED,3/3/2003,,11/8/2018,2,0,0,2,0,0,0,0,No Complaints,33,USCGeocoder,125.2317,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,43631.34448,ArealInterpolationGeometricCentroid,Parcel,99.46745562,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.66064496,-121.5030665,Relaxed,
DAY CARE CENTER,343614093,BEANSTALK-ORCHARD PRESCHOOL,Beanstalk-Orchard Preschool,B.J. JORDAN CHILD CARE PROGRAMS DBA BEANSTALK,"QUIGLEY, COLLEEN",(916) 991-4427,1040 Q STREET,1040 Q Street,RIO LINDA,Rio Linda,CA,95673,SACRAMENTO,3,24,CLOSED,8/24/2006,7/3/2018,1/21/2016,1,0,0,1,1,0,0,0,No Complaints,34,USCGeocoder,77.9803,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,8422.536395,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.69813914,-121.4420356,Exact,
DAY CARE CENTER,343608368,BEANSTALK-RIDGEPOINT STATE PRESCHOOL,Beanstalk-Ridgepoint State Preschool,B. J. JORDAN CHILD CARE PROGRAM,"SMITH, ERIKA",(916) 332-9908,4680 MONUMENT DR.,4680 Monument Dr.,SACRAMENTO,Sacramento,CA,95842,SACRAMENTO,3,30,LICENSED,9/13/2002,,11/30/2017,1,0,1,2,0,0,0,0,No Complaints,35,USCGeocoder,62.5197,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3450.137068,LinearInterpolationAddressRange,StreetSegment,99.89940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.70064005,-121.3557151,Relaxed,
DAY CARE CENTER,343613095,BEANSTALK -REGENCY PARK PRESCHOOL,Beanstalk -Regency Park Preschool,B.J. JORDAN CHILD CARE PROGRAMS,"MCPHERSON, TIFFANY",(916) 419-6049,5901 BRIDGECROSS DRIVE,5901 Bridgecross Drive,SACRAMENTO,Sacramento,CA,95835,SACRAMENTO,3,30,LICENSED,11/15/2006,,2/8/2018,1,0,0,1,0,0,0,0,No Complaints,36,USCGeocoder,124.969,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5111.572193,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.68188192,-121.5003239,Exact,
